Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
290,Island of the Blue Dolphins,Scott O'Dell,3.87,342454,9780547488899,B0038AUY8M,"Genres, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Adventure, School",,194,Kindle Edition
291,The Idiot,Fyodor Dostoevsky,4.21,201179,9780679642428,0679642420,"Genres, Fiction, Russia, Russian Literature, Classics, Literature, Philosophy, Novels",,667,Paperback
292,Inkheart,Cornelia Funke,3.92,435268,Not found,Not found,"Genres, Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Adventure, Magic","Inkworld, #1",563,Paperback
293,Roots: The Saga of an American Family,Alex Haley,4.44,162157,9780440174646,0440174643,"Genres, Historical Fiction, Fiction, Classics, Historical, African American, Africa, Race",,729,Mass Market Paperback
294,Big Little Lies,Liane Moriarty,4.31,1067780,9780399587191,0399587195,"Genres, Fiction, Mystery, Contemporary, Thriller, Chick Lit, Audiobook, Mystery Thriller",,460,Paperback
295,Stranger in a Strange Land,Robert A. Heinlein,3.92,320669,Not found,Not found,"Genres, Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Audiobook, Novels",,525,Paperback
296,Othello,William Shakespeare,3.89,419884,Not found,B006U1QW78,"Genres, Classics, Plays, Fiction, School, Literature, Theatre, Read For School",,319,Mass Market Paperback
297,Into the Wild,Jon Krakauer,4.02,1147094,9780385486804,0385486804,"Genres, Nonfiction, Biography, Adventure, Classics, Memoir, Nature, School",,207,Paperback
298,Never Lie,Freida McFadden,4.09,1076541,Not found,B0BBL2ZW73,"Genres, Thriller, Mystery, Audiobook, Mystery Thriller, Fiction, Suspense, Psychological Thriller",,286,Kindle Edition
299,The Woman in the Window,A.J. Finn,3.95,843520,Not found,B06Y55Z36S,"Genres, Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Audiobook, Crime",,455,Kindle Edition
300,None of This Is True,Lisa Jewell,4.1,855546,9781982179007,1982179007,"Genres, Thriller, Mystery, Audiobook, Fiction, Mystery Thriller, Suspense, Crime",,390,Hardcover
301,Neverwhere,Neil Gaiman,4.17,550478,9780060557812,0060557818,"Genres, Fantasy, Fiction, Urban Fantasy, Audiobook, Science Fiction Fantasy, Horror, Science Fiction","London Below, #1",370,Paperback
302,Shatter Me,Tahereh Mafi,3.84,1081735,9780062085481,0062085484,"Genres, Dystopia, Young Adult, Fiction, Science Fiction, Paranormal, Enemies To Lovers, Audiobook","Shatter Me, #1",338,Hardcover
303,The Girl Who Kicked the Hornet’s Nest,Stieg Larsson,4.24,758259,9780307269997,B007NB94GA,"Genres, Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook","Millennium, #3",566,Hardcover
304,The Vampire Lestat,Anne Rice,4.1,210002,9780345476883,0345476883,"Genres, Horror, Fantasy, Vampires, Fiction, Paranormal, Supernatural, Gothic","The Vampire Chronicles, #2",481,Mass Market Paperback
305,The Things They Carried,Tim O'Brien,4.14,331377,9780767902892,0767902890,"Genres, Fiction, Historical Fiction, Classics, War, Short Stories, School, Historical",,246,Paperback
306,Wonder,R.J. Palacio,4.36,1150542,9780375869020,0375869026,"Genres, Fiction, Young Adult, Middle Grade, Contemporary, Realistic Fiction, Childrens, School","Wonder, #1",315,Hardcover
307,King Lear,William Shakespeare,3.91,228995,Not found,Not found,"Genres, Plays, Fiction, Classics, School, Theatre, Literature, Poetry",,339,Mass Market Paperback
308,The Paris Apartment,Lucy Foley,3.65,640192,9780063003057,0063003058,"Genres, Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Suspense, Crime",,360,Hardcover
309,Never Let Me Go,Kazuo Ishiguro,3.85,780332,9781400078776,1400078776,"Genres, Fiction, Science Fiction, Dystopia, Contemporary, Literary Fiction, Romance, Classics",,288,Paperback
310,Delirium,Lauren Oliver,3.95,474362,9780061726835,0061726834,"Genres, Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Teen","Delirium, #1",441,Paperback
311,White Oleander,Janet Fitch,,360837,9780316182546,0316182540,"Genres, Fiction, Coming Of Age, Contemporary, Literary Fiction, Drama, Adult Fiction, Chick Lit",,446,Mass Market Paperback
311,Beautiful Disaster,Jamie McGuire,,700898,Not found,B008JMKN4Y,"Genres, New Adult, Contemporary, Young Adult, Contemporary Romance, College, Fiction, Chick Lit","Beautiful, #1",432,Kindle Edition
313,The Cruel Prince,Holly Black,4.02,1531422,9780316310277,0316310271,"Genres, Fantasy, Young Adult, Romance, Enemies To Lovers, Fae, Fiction, Young Adult Fantasy","The Folk of the Air, #1",370,Hardcover
314,Foundation,Isaac Asimov,4.17,570846,9780553803716,0553803719,"Genres, Science Fiction, Fiction, Science Fiction Fantasy, Fantasy, Classics, Audiobook, Space Opera","Foundation, #1",244,Hardcover
315,Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,11739,9780099494287,0099494280,"Genres, Travel, Nonfiction, Africa, History, Adventure, Memoir, Biography",,363,Paperback
316,Ready Player One,Ernest Cline,4.23,1243586,9780307887436,030788743X,"Genres, Science Fiction, Fiction, Young Adult, Fantasy, Dystopia, Audiobook, Adventure","Ready Player One, #1",480,Hardcover
317,Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,236378,Not found,B0DSZSD52V,"Genres, Classics, Fiction, Historical Fiction, Literature, Historical, Novels, American",,438,Paperback
318,Lock Every Door,Riley Sager,3.89,259577,9781524745158,1524745154,"Genres, Thriller, Mystery, Mystery Thriller, Fiction, Horror, Audiobook, Suspense",,381,ebook
319,The Family Upstairs,Lisa Jewell,3.96,501774,9781501190100,1501190105,"Genres, Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Suspense, Crime","The Family Upstairs, #1",340,Hardcover
320,You,Caroline Kepnes,3.96,269822,9781501195433,1501195433,"Genres, Thriller, Fiction, Mystery, Mystery Thriller, Contemporary, Audiobook, Horror","You, #1",464,Paperback
321,Mistborn: The Final Empire,Brandon Sanderson,4.49,840627,9780765311788,076531178X,"Genres, Fantasy, Fiction, High Fantasy, Audiobook, Epic Fantasy, Magic, Science Fiction Fantasy","Mistborn, #1",541,Hardcover
322,Midnight Sun [2008 Draft],Stephenie Meyer,4.01,148880,Not found,B0DTRQKLX9,"Genres, Young Adult, Fantasy, Vampires, Romance, Paranormal, Fiction, Paranormal Romance",,264,ebook
323,East of Eden,John Steinbeck,4.42,582278,9780142000656,0142000655,"Genres, Fiction, Classics, Historical Fiction, Literature, Novels, Literary Fiction, American",,601,Paperback
324,The Mark of Athena,Rick Riordan,4.47,645818,9781423140603,1423140605,"Genres, Fantasy, Mythology, Young Adult, Fiction, Middle Grade, Adventure, Greek Mythology","The Heroes of Olympus, #3",586,Hardcover
325,The Bone Collector,Jeffery Deaver,4.2,186222,9780451188458,0451188454,"Genres, Mystery, Thriller, Fiction, Crime, Mystery Thriller, Suspense, Detective","Lincoln Rhyme, #1",528,Mass Market Paperback
326,The Once and Future King,T.H. White,4.07,115373,9780441627400,0441627404,"Genres, Fantasy, Classics, Fiction, Historical Fiction, Arthurian, Mythology, Young Adult",,639,Mass Market Paperback
327,The Son of Neptune,Rick Riordan,4.41,637693,9781423140597,1423140591,"Genres, Fantasy, Mythology, Young Adult, Fiction, Middle Grade, Adventure, Greek Mythology","The Heroes of Olympus, #2",521,Hardcover
328,Pretty Girls,Karin Slaughter,4.02,570304,9780062430878,0062430874,"Genres, Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Crime, Suspense",,432,Paperback
329,I Know This Much Is True,Wally Lamb,4.21,318361,9780060987565,0060987561,"Genres, Fiction, Contemporary, Literary Fiction, Novels, Mental Health, Adult Fiction, Psychology",,897,Paperback
330,James and the Giant Peach,Roald Dahl,4.03,497805,9780375814242,0375814248,"Genres, Childrens, Fantasy, Fiction, Classics, Young Adult, Middle Grade, Adventure",,176,Hardcover
331,The Housemaid's Secret,Freida McFadden,4.21,1126096,9781837901319,B0BGXYL3BZ,"Genres, Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Audiobook, Psychological Thriller","The Housemaid, #2",318,Kindle Edition
332,A Court of Thorns and Roses,Sarah J. Maas,4.17,3604955,9781619634442,1619634449,"Genres, Fantasy, Young Adult, Fiction, Romantasy, Audiobook, New Adult, Fae","A Court of Thorns and Roses, #1",419,Hardcover
333,Candide,Voltaire,3.76,289578,9780486266893,0486266893,"Genres, Fiction, Philosophy, France, Classics, Literature, French Literature, Humor",,129,Paperback
334,The Complete Works,William Shakespeare,4.48,57371,9780517053614,0517053616,"Genres, Classics, Poetry, Fiction, Plays, Literature, Drama, Classic Literature",,1229,Leather Bound
335,All Creatures Great and Small,James Herriot,4.35,152888,9780312965785,0312965788,"Genres, Nonfiction, Memoir, Animals, Classics, Biography, Audiobook, Biography Memoir","All Creatures Great and Small, #1-2",437,Mass Market Paperback
336,Flow Down Like Silver,Ki Longfellow,4.01,4516,9780975925591,0975925598,"Genres, Historical Fiction, Fiction, Egypt, Historical, Philosophy, Literature, Africa",,301,Paperback
337,Paradise Lost,John Milton,3.85,174656,9780140424393,0140424393,"Genres, Poetry, Fiction, Classics, Literature, Religion, Fantasy, Philosophy",,453,Paperback
338,Invisible Man,Ralph Ellison,3.92,195545,Not found,Not found,"Genres, Fiction, Classics, Literature, Historical Fiction, Race, African American, Novels",,581,Paperback
339,The Time Machine,H.G. Wells,3.9,544659,Not found,Not found,"Genres, Science Fiction, Fiction, Classics, Time Travel, Fantasy, Dystopia, Audiobook",,118,Paperback
340,The Historian,Elizabeth Kostova,3.8,271686,Not found,B000FCK6EI,"Genres, Fiction, Historical Fiction, Fantasy, Horror, Vampires, Mystery, Historical",,704,Kindle Edition
341,Behind Closed Doors,B.A. Paris,3.97,691259,9781250121004,1250121000,"Genres, Thriller, Fiction, Mystery, Mystery Thriller, Suspense, Audiobook, Psychological Thriller",,293,Hardcover
342,No Exit,Taylor Adams,3.99,192141,9781912106769,B073BVCHKG,"Genres, Thriller, Mystery Thriller, Mystery, Fiction, Horror, Suspense, Crime",,287,Kindle Edition
343,The Woman in Cabin 10,Ruth Ware,3.73,686207,9781501132933,1501132938,"Genres, Mystery, Thriller, Fiction, Mystery Thriller, Suspense, Audiobook, Crime","Lo Blacklock, #1",341,Hardcover
344,Heidi,Johanna Spyri,4.04,206411,9780753454947,0753454947,"Genres, Classics, Fiction, Childrens, Historical Fiction, Young Adult, Middle Grade, Historical","Heidi, #1-2",352,Paperback
345,The Thirteenth Tale,Diane Setterfield,3.98,320803,9780743298025,0743298020,"Genres, Fiction, Mystery, Historical Fiction, Gothic, Books About Books, Fantasy, Audiobook",,406,Hardcover
346,"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.23,178067,9780380813810,0380813815,"Genres, Fiction, Humor, Historical Fiction, Fantasy, Religion, Comedy, Audiobook",,444,Paperback
347,The Wise Man's Fear,Patrick Rothfuss,4.55,592944,9780756404734,0756404738,"Genres, Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy","The Kingkiller Chronicle, #2",994,Hardcover
348,Me Before You,Jojo Moyes,4.26,1735810,9780670026609,0670026603,"Genres, Fiction, Contemporary, Chick Lit, Audiobook, Adult Fiction, Contemporary Romance, Drama","Me Before You, #1",369,Hardcover
349,The Martian,Andy Weir,4.42,1206926,9780804139021,0804139024,"Genres, Science Fiction, Fiction, Audiobook, Adventure, Space, Thriller, Science Fiction Fantasy",,384,Hardcover
350,The Couple Next Door,Shari Lapena,3.8,660799,9780735221086,0735221081,"Genres, Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Audiobook, Crime",,308,Hardcover
351,City of Lost Souls,Cassandra Clare,4.21,552842,9781442416864,1442416866,"Genres, Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Vampires, Fiction","The Mortal Instruments, #5",535,Hardcover
352,All the Light We Cannot See,Anthony Doerr,4.31,1851322,9781476746586,1476746583,"Genres, Historical Fiction, Fiction, Historical, War, World War II, Audiobook, France",,544,Hardcover
353,Graceling,Kristin Cashore,4.07,473305,9780152063962,015206396X,"Genres, Fantasy, Young Adult, Romance, Fiction, Young Adult Fantasy, Adventure, Magic","Graceling Realm, #1",471,Hardcover
354,A Flicker in the Dark,Stacy Willingham,3.99,517586,9781250803825,1250803829,"Genres, Thriller, Mystery, Mystery Thriller, Fiction, Audiobook, Suspense, Crime",,357,Hardcover
355,Leaves of Grass,Walt Whitman,4.12,112920,Not found,Not found,"Genres, Poetry, Classics, Fiction, Literature, American, 19th Century, Philosophy",,624,Paperback
356,Home Before Dark,Riley Sager,4.06,256591,9781524745172,1524745170,"Genres, Horror, Thriller, Mystery, Mystery Thriller, Fiction, Audiobook, Suspense",,389,Hardcover
357,Different Seasons,Stephen King,4.36,214108,9780751514629,0751514624,"Genres, Horror, Fiction, Short Stories, Thriller, Mystery, Fantasy, Drama",,560,Mass Market Paperback
358,"Are You There God? It’s Me, Margaret",Judy Blume,3.94,249096,9780689841583,0689841582,"Genres, Young Adult, Fiction, Childrens, Classics, Middle Grade, Coming Of Age, Realistic Fiction",,149,Hardcover
359,Then She Was Gone,Lisa Jewell,4.05,857097,9781501154645,1501154648,"Genres, Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Suspense, Crime",,359,Paperback
360,Final Girls,Riley Sager,3.82,228707,9781101985366,1101985364,"Genres, Thriller, Horror, Mystery, Mystery Thriller, Fiction, Audiobook, Suspense",,352,Hardcover
361,The Cider House Rules,John Irving,4.17,190753,9780786226740,0786226749,"Genres, Fiction, Classics, Historical Fiction, Literature, Literary Fiction, Contemporary, Novels",,1064,Hardcover
362,The Last Thing He Told Me,Laura Dave,3.83,1066158,9781501171345,1501171348,"Genres, Mystery, Fiction, Thriller, Audiobook, Mystery Thriller, Suspense, Contemporary",,307,Hardcover
363,Hamlet,William Shakespeare,4.02,1004103,9780521618748,0521618746,"Genres, Plays, Fiction, School, Literature, Read For School, Poetry, High School",,289,Paperback
364,Walden,Henry David Thoreau,3.78,197784,Not found,B0059EFI4U,"Genres, Philosophy, Nonfiction, Nature, Memoir, Literature, Biography, Essays",,352,Paperback
365,The Complete Maus,Art Spiegelman,4.58,239087,9780141014081,0141014083,"Genres, Graphic Novels, Comics, Nonfiction, History, Biography, Memoir, Historical",,296,Paperback
366,The Only One Left,Riley Sager,4.14,449950,9780593183229,0593183223,"Genres, Thriller, Mystery, Mystery Thriller, Fiction, Horror, Audiobook, Suspense",,383,Hardcover
367,Fangirl,Rainbow Rowell,3.94,766286,Not found,B0DWV49FT7,"Genres, Young Adult, Contemporary, Fiction, Realistic Fiction, New Adult, Audiobook, Coming Of Age",,483,ebook
368,Mrs. Dalloway,Virginia Woolf,3.79,329731,9780151009985,0151009988,"Genres, Fiction, Classics, Literature, Novels, Feminism, Literary Fiction, British Literature",,194,Hardcover
369,Legend,Marie Lu,4.15,549505,Not found,B0DLSYCPSK,"Genres, Dystopia, Young Adult, Fantasy, Science Fiction, Romance, Fiction, Adventure","Legend, #1",305,Hardcover
370,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,317386,9780375508417,0375508414,"Genres, Fiction, Historical Fiction, Classics, LGBT, Queer, Historical, Chick Lit",,416,Hardcover
371,A Good Girl's Guide to Murder,Holly Jackson,4.3,1516075,9781405293181,1405293187,"Genres, Young Adult, Thriller, Mystery Thriller, Fiction, Crime, Audiobook, Contemporary","A Good Girl's Guide to Murder, #1",433,Paperback
372,Sophie’s World,Jostein Gaarder,3.97,271560,9781857993288,1857993284,"Genres, Fiction, Classics, Young Adult, Novels, Fantasy, Literature, Contemporary",,403,Paperback
373,The Awakening,Kate Chopin,3.68,218930,9780543898081,0543898083,"Genres, Classics, Fiction, Feminism, School, Literature, Historical Fiction, Read For School",,195,Paperback
374,The Hound of the Baskervilles,Arthur Conan Doyle,4.13,368526,Not found,Not found,"Genres, Mystery, Fiction, Crime, Classics, Mystery Thriller, Thriller, Audiobook","Sherlock Holmes, #5",256,Mass Market Paperback
375,The Graveyard Book,Neil Gaiman,4.16,556936,9780060530921,0060530928,"Genres, Fantasy, Young Adult, Fiction, Horror, Middle Grade, Paranormal, Audiobook",,312,Hardcover
376,Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,483922,Not found,B0DWVGYNQZ,"Genres, Science Fiction, Fiction, Dystopia, Cyberpunk, Science Fiction Fantasy, Fantasy, Novels",,258,ebook
377,Middlemarch,George Eliot,4.03,171784,9780451529176,0451529170,"Genres, Classics, Fiction, Historical Fiction, Literature, 19th Century, Victorian, Novels",,912,Mass Market Paperback
378,The Monster at the End of this Book,Jon Stone,4.46,126099,9780375829130,037582913X,"Genres, Picture Books, Childrens, Fiction, Humor, Classics, Monsters, Storytime",,32,Hardcover
379,Stardust,Neil Gaiman,4.1,472288,9780061142024,0061142026,"Genres, Fantasy, Fiction, Young Adult, Adventure, Audiobook, Magic, Science Fiction Fantasy",,248,Paperback
380,Fifty Shades Darker,E.L. James,3.83,951056,9781612130583,1612130585,"Genres, Romance, Fiction, Erotica, BDSM, Contemporary, Contemporary Romance, Chick Lit","Fifty Shades, #2",532,Paperback
381,Sophie’s Choice,William Styron,4.17,92936,9780679736370,0679736379,"Genres, Fiction, Historical Fiction, Holocaust, War, Classics, Historical, World War II",,562,Paperback
382,Black Beauty,Anna Sewell,,290232,9780439228909,0439228905,"Genres, Classics, Fiction, Childrens, Animals, Young Adult, Horses, Historical Fiction",,245,Mass Market Paperback
383,The Prince of Tides,Pat Conroy,4.26,212556,9780553381542,0553381547,"Genres, Fiction, Classics, Romance, Southern, Contemporary, Literary Fiction, Literature",,679,Paperback
384,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,4.3,650175,9781442408920,1442408928,"Genres, Young Adult, LGBT, Contemporary, Fiction, Queer, Audiobook, Coming Of Age","Aristotle and Dante, #1",390,Hardcover
385,Things Fall Apart,Chinua Achebe,3.74,394480,Not found,B0DSZL6M5S,"Genres, Fiction, Classics, Historical Fiction, Africa, School, Literature, Nigeria","The African Trilogy, #1",215,Paperback
386,Dead Until Dark,Charlaine Harris,3.97,552584,9780441008537,0441008534,"Genres, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Fiction, Mystery","Sookie Stackhouse, #1",292,Mass Market Paperback
387,A Time to Kill,John Grisham,4.12,815809,Not found,B00DWWHQYQ,"Genres, Fiction, Thriller, Mystery, Crime, Suspense, Legal Thriller, Mystery Thriller","Jake Brigance, #1",738,Mass Market Paperback
388,Number the Stars,Lois Lowry,4.19,598509,9780440227533,0440227534,"Genres, Historical Fiction, Young Adult, Fiction, Classics, Middle Grade, Historical, Childrens",,137,Mass Market Paperback
389,Bridget Jones’s Diary,Helen Fielding,3.81,1005492,9780140280098,014028009X,"Genres, Fiction, Chick Lit, Romance, Contemporary, Humor, Comedy, Adult Fiction","Bridget Jones, #1",288,Hardcover
390,Ignite Me,Tahereh Mafi,4.45,591183,9780062085597,B07H56SK9J,"Genres, Fantasy, Dystopia, Romance, Young Adult, Enemies To Lovers, Science Fiction, Fiction","Shatter Me, #3",408,Kindle Edition
391,The Magician’s Nephew,C.S. Lewis,4.05,576678,9780060764906,0060764902,"Genres, Fantasy, Fiction, Young Adult, Childrens, Middle Grade, Christian, Adventure","Chronicles of Narnia, #6",221,Mass Market Paperback
392,The Art of Racing in the Rain,Garth Stein,4.23,539090,9781554681723,1554681723,"Genres, Fiction, Animals, Dogs, Audiobook, Adult Fiction, Book Club, Contemporary",,336,Hardcover
393,V for Vendetta,Alan Moore,4.26,317098,9781401207922,1401207928,"Genres, Graphic Novels, Comics, Fiction, Dystopia, Science Fiction, Graphic Novels Comics, Classics",,296,Hardcover
394,Eleanor & Park,Rainbow Rowell,3.93,1224357,9781250012579,1250012570,"Genres, Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Audiobook, Coming Of Age",,328,Hardcover
395,American Psycho,Bret Easton Ellis,3.81,340536,9780679735779,0679735771,"Genres, Fiction, Horror, Classics, Thriller, Crime, Contemporary, Novels",,399,Paperback
396,War and Peace,Leo Tolstoy,4.16,350300,9780192833983,0192833987,"Genres, Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, War",,1392,Paperback
397,Franny and Zooey,J.D. Salinger,3.96,231732,9780316769020,0316769029,"Genres, Fiction, Short Stories, Literature, Classics, American, Novels, Literary Fiction",,201,Paperback
398,Beowulf,Unknown,3.49,332790,9780393320978,0393320979,"Genres, Poetry, Fiction, Fantasy, Classics, Mythology, School, Literature",,259,Paperback
399,White Fang,Jack London,4.03,198754,Not found,Not found,"Genres, Fiction, Classics, Adventure, Animals, Young Adult, Historical Fiction, Literature",,252,Paperback
400,Love You Forever,Robert Munsch,4.38,243360,9780920668375,0920668372,"Genres, Picture Books, Childrens, Fiction, Classics, Family, Love, Kids",,32,Paperback
401,The Witches,Roald Dahl,4.18,414489,9780590032490,0590032496,"Genres, Fantasy, Childrens, Fiction, Classics, Middle Grade, Young Adult, Witches",,208,Paperback
402,A Little Life,Hanya Yanagihara,4.3,805878,9780385539258,0385539258,"Genres, Fiction, Contemporary, Literary Fiction, LGBT, Queer, Mental Health, Novels",,720,Hardcover
403,Allegiant,Veronica Roth,3.6,1105978,9780007524273,0007524277,"Genres, Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure","Divergent, #3",531,Hardcover
404,A Short History of Nearly Everything,Bill Bryson,4.22,406241,9780767908184,076790818X,"Genres, Nonfiction, Science, History, Audiobook, Humor, Physics, Popular Science",,544,Paperback
405,Harry Potter Series Box Set,J.K. Rowling,4.73,297101,9780545044257,0545044251,"Genres, Fantasy, Young Adult, Fiction, Magic, Childrens, Adventure, Classics","Harry Potter, #1-7",4100,Hardcover
406,The Gunslinger,Stephen King,3.92,640743,9781501143519,1501143514,"Genres, Fantasy, Fiction, Horror, Science Fiction, Audiobook, Adventure, Science Fiction Fantasy","The Dark Tower, #1",231,Paperback
407,If I Stay,Gayle Forman,3.91,946043,9780525421030,0525421033,"Genres, Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Teen, Music","If I Stay, #1",208,Hardcover
408,The Power of One,Bryce Courtenay,4.35,91852,9780345410054,034541005X,"Genres, Fiction, Historical Fiction, Africa, Classics, South Africa, Coming Of Age, Historical","The Power of One, #1",544,Paperback
409,The Complete Novels,Jane Austen,4.57,33701,9780140259445,0140259449,"Genres, Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Classic Literature",,1344,Paperback
410,Gulliver’s Travels,Jonathan Swift,3.59,289443,9780141439495,B06XVF5QFY,"Genres, Classics, Fiction, Fantasy, Adventure, Literature, Novels, 18th Century",,306,Paperback
411,The Eye of the World,Robert Jordan,4.19,561639,9780812511819,0812511816,"Genres, Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Adventure","The Wheel of Time, #1",800,Mass Market Paperback
412,The House of Hades,Rick Riordan,4.57,456454,9781423146728,1423146727,"Genres, Fantasy, Mythology, Young Adult, Fiction, Middle Grade, Adventure, Greek Mythology","The Heroes of Olympus, #4",597,Hardcover
413,Tuck Everlasting,Natalie Babbitt,3.9,285711,9780374480097,0374480095,"Genres, Fantasy, Classics, Young Adult, Fiction, Childrens, Middle Grade, School",,148,Paperback
414,It Ends with Us,Colleen Hoover,4.12,4233241,9781668021040,1668021048,"Genres, Fiction, Contemporary, Audiobook, New Adult, Contemporary Romance, Abuse, Chick Lit","It Ends with Us, #1",386,Kindle Edition
415,Fifty Shades Freed,E.L. James,3.83,892739,9780345803504,B00DNW19FC,"Genres, Romance, Erotica, Fiction, BDSM, Contemporary, Contemporary Romance, Chick Lit","Fifty Shades, #3",579,Paperback
416,"A Child Called ""It""",Dave Pelzer,4.13,450560,Not found,Not found,"Genres, Nonfiction, Memoir, Biography, Psychology, Autobiography, Abuse, Biography Memoir","Dave Pelzer, #1",184,Paperback
417,’Salem’s Lot,Stephen King,4.1,623014,9780450031069,0450031063,"Genres, Horror, Fiction, Vampires, Fantasy, Thriller, Paranormal, Audiobook",,483,Paperback
418,A Portrait of the Artist as a Young Man,James Joyce,3.64,158707,9780142437346,0142437344,"Genres, Classics, Fiction, Literature, Irish Literature, Ireland, Novels, 20th Century",,329,Paperback
419,Bel Canto,Ann Patchett,3.94,304604,Not found,Not found,"Genres, Fiction, Contemporary, Literary Fiction, Historical Fiction, Audiobook, Book Club, Music",,318,Paperback
420,11/22/63,Stephen King,4.34,593292,9781451627282,1451627289,"Genres, Fiction, Historical Fiction, Science Fiction, Time Travel, Horror, Fantasy, Thriller",,849,Hardcover
421,The Grapes of Wrath,John Steinbeck,4.02,954793,9780670016907,067001690X,"Genres, Classics, Fiction, Historical Fiction, Literature, Novels, School, American",,496,Hardcover
422,Heir of Fire,Sarah J. Maas,4.46,1277428,9781619630659,1619630656,"Genres, Young Adult, Romance, Fantasy, Fiction, Magic, Fae, Romantasy","Throne of Glass, #3",565,Hardcover
423,Inferno,Dante Alighieri,4.03,195592,9780812970067,B0BQJ59T18,"Genres, Classics, Poetry, Fiction, Literature, Religion, Fantasy, School",,490,Kindle Edition
424,القرآن الكريم,Anonymous,4.38,70632,Not found,B0DTR624WB,"Genres, Nonfiction, Classics, Philosophy, Religion, Spirituality, History, Theology",,604,Hardcover
425,Fourth Wing,Rebecca Yarros,4.58,2778289,9781649374042,1649374046,"Genres, Romantasy, Dragons, Fiction, Audiobook, Enemies To Lovers, Fantasy Romance, Magic","The Empyrean, #1",498,Hardcover
426,Tao Te Ching,Lao Tzu,4.29,172111,9780679724346,0679724346,"Genres, Philosophy, Nonfiction, Classics, Spirituality, Poetry, China, Self Help",,107,Paperback
427,Cold Mountain,Charles Frazier,3.89,246749,9780802142849,0802142842,"Genres, Historical Fiction, Fiction, Historical, Romance, Civil War, War, Classics",,449,Paperback
428,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,242797,9780553212280,0553212281,"Genres, Classics, Horror, Fiction, Short Stories, Poetry, Gothic, Mystery",,448,Mass Market Paperback
429,As I Lay Dying,William Faulkner,3.72,178267,Not found,Not found,"Genres, Classics, Fiction, Literature, Novels, American, School, Southern Gothic",,288,Paperback
430,Cloud Atlas,David Mitchell,4.01,258864,9780375507250,B00A2M3QD4,"Genres, Fiction, Science Fiction, Fantasy, Historical Fiction, Dystopia, Literary Fiction, Contemporary",,509,Paperback
431,Go Ask Alice,Beatrice Sparks,3.74,283714,9781416914631,1416914633,"Genres, Young Adult, Fiction, Classics, Contemporary, Mental Health, Banned Books, Realistic Fiction",,213,Paperback
432,The Hunchback of Notre-Dame,Victor Hugo,4.02,210004,9780451527882,0451527887,"Genres, Fiction, Classics, Historical Fiction, France, Literature, Gothic, French Literature",,510,Paperback
433,Eldest,Christopher Paolini,4.04,473102,9780375840401,0375840400,"Genres, Fantasy, Young Adult, Fiction, Dragons, Adventure, Magic, High Fantasy","The Inheritance Cycle, #2",704,Paperback
434,Mansfield Park,Jane Austen,3.86,366062,Not found,Not found,"Genres, Fiction, Classics, Historical Fiction, Literature, Audiobook, Historical, 19th Century",,488,Paperback
435,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,628127,9780451528957,0451528956,"Genres, Horror, Gothic, Mystery, Science Fiction, Fantasy, Audiobook, Literature",,139,Mass Market Paperback
436,The Martian Chronicles,Ray Bradbury,4.16,275316,9780553278224,B00LNVWRG0,"Genres, Science Fiction, Fiction, Classics, Short Stories, Fantasy, Science Fiction Fantasy, Audiobook",,182,Mass Market Paperback
437,Dark Lover,J.R. Ward,4.16,345527,9780451216953,0451216954,"Genres, Paranormal, Vampires, Paranormal Romance, Fantasy, Urban Fantasy, Fiction, Supernatural","Black Dagger Brotherhood, #1",393,Mass Market Paperback
