,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
168,,The Voyage of the Dawn Treader,Clive Staples Lewis,,,9780006716655,,Juvenile Fiction,,196,paperback
169,,Keeper of the Lost Cities,Shannon Messenger,4.5,,9781442445932,,Juvenile Nonfiction,,496,paperback
170,,Harry Potter and the Deathly Hallows,J. K. Rowling,4.5,,,,Juvenile Fiction,,792,paperback
171,,Bloodmarked,Tracy Deonn,,,9781534441637,,Young Adult Fiction,,576,paperback
172,,Charlie and the Great Glass Elevator,Roald Dahl,,,,,Juvenile Fiction,,180,paperback
173,,Graceling,Kristin Cashore,4.5,,9780152063962,,Juvenile Fiction,,492,paperback
174,,Bridge to Terabithia,Katherine Paterson,,,9780380432813,,Juvenile Fiction,,148,paperback
175,,Through the Looking-glass,Lewis Carroll,4.0,,,,Fantasy,,250,ebook
176,,The Borrowers,"Mary Norton, Sherwood Smith",,,9780152017798,,Juvenile Fiction,,196,paperback
177,,"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien,,,9780261103344,,Fiction,,302,paperback
178,,The Silver Chair,Clive Staples Lewis,,,9780006716815,,Juvenile Fiction,,260,paperback
179,,The Tales of Beedle the Bard,J. K. Rowling,4.5,,,,Fiction,,136,paperback
180,,Peter and Wendy,James Matthew Barrie,,,,,Children,,306,paperback
181,,Crown of Midnight,Sarah J. Maas,3.5,,9781619630628,,Juvenile Fiction,,435,paperback
183,,"Moomin, Mymble and Little My",Tove Jansson,,,9780953522743,,Children's stories,,24,paperback
184,,The Handmaid's Tale,Margaret Atwood,,,9780099740919,,Fiction,,322,paperback
185,,The Wonderful Wizard of Oz,L. Frank Baum,,,,,Fantasy,,191,paperback
189,,The Lord of the Rings,John Ronald Reuel Tolkien,4.5,,,,Fiction,,1176,paperback
190,,Prince Caspian Movie Tie-in Edition (rack),C. S. Lewis,5.0,,9780061231063,,Fiction,,260,paperback
191,,The Subtle Knife,Philip Pullman,4.0,,9780375846724,,Fantasy,,368,paperback
193,,The Gremlins,Roald Dahl,5.0,,,,Comics & Graphic Novels,,64,paperback
194,,The Left Hand of Darkness,Ursula K. Le Guin,4.0,,,,Fiction,,332,paperback
195,,The Shadow Rising,Robert Jordan,4.0,,9780812513738,,Fiction,,1015,paperback
196,,James and the Giant Peach,Roald Dahl,,,9780140306231,,Juvenile Fiction,,116,paperback
197,,Moominland Midwinter,Tove Jansson,,,9780140305029,,Juvenile Nonfiction,,121,paperback
198,,Through the Looking-Glass,Lewis Carroll,,,9780688120498,,Juvenile Fiction,,248,paperback
199,,The Eyes of the Dragon,Stephen King,,,,,Fiction,,344,paperback
200,,The Story of Doctor Dolittle,Forgotten Books,,,9781440067761,,Animals,,180,paperback
204,,The Fantastic Flying Books of Mr. Morris Lessmore,William Joyce,1.0,,9781442457027,,Juvenile Fiction,,56,paperback
206,,The Dragonbone Chair,Tad Williams,,,9780756402693,,Fiction,,674,paperback
208,,The Ice Dragon,George R. R. Martin,,,9780765378774,,Juvenile Fiction,,130,paperback
210,,Tales from Moominvalley,Tove Jansson,,,9780312625429,,Juvenile Fiction,,191,paperback
211,,Half Magic,Edward Eager,4.5,,9780152020682,,Juvenile Fiction,,212,paperback
212,,Moominpappa at Sea,Tove Jansson,,,9780312608927,,Juvenile Fiction,,242,paperback
213,,Harry Potter and the Chamber of Secrets,J. K. Rowling,5.0,,9781551922447,,Juvenile Fiction,,260,paperback
214,,Comet in Moominland,Tove Jansson,,,9780312608880,,Juvenile Fiction,,193,paperback
215,,The Talisman,"Stephen King, Peter Straub",4.5,,9780345444882,,Fiction,,774,paperback
217,,Finn Family Moomintroll,Tove Jansson,,,9780312608897,,Juvenile Fiction,,173,paperback
219,,Sea Fairies,L. Frank Baum,,,,,Fiction,,677,ebook
220,,Moominsummer Madness,Tove Jansson,,,9780312608910,,Juvenile Fiction,,173,paperback
221,,Pippi Goes Aboard,Astrid Lindgren,,,9780140309133,,Juvenile Fiction,,180,paperback
223,,The Book of Three,Lloyd Alexander,3.5,,9780805080483,,Juvenile Fiction,,230,paperback
224,,Avatar,"Michael Dante DiMartino, Bryan Konietzko, Nickelodeon (Firm)",5.0,,9780345518521,,Comics & Graphic Novels,,85,paperback
226,,Tales from Earthsea,Ursula K. Le Guin,4.0,,9780441009329,,Fiction,,340,paperback
229,,Pippi in the South Seas,Astrid Lindgren,,,,,Juvenile Fiction,,136,paperback
230,,Winnie-the-Pooh,Alan Alexander Milne,,,,,Juvenile Fiction,,184,paperback
232,,Harry Potter and the Half-Blood Prince,J. K. Rowling,,,9780439791328,,Juvenile Fiction,,652,paperback
235,,Where the Wild Things are,Maurice Sendak,,,,,Juvenile Fiction,,48,paperback
236,,The Illustrated Man,Ray Bradbury,4.0,,,,Fiction,,264,paperback
238,,The Farthest Shore,Ursula K. Le Guin,,,,,Fiction,,408,paperback
239,,The Magicians of Caprona,Diana Wynne Jones,,,9780006755166,,Juvenile Fiction,,266,paperback
243,,A Court of Thorns and Roses,Sarah J. Maas,5.0,,9781408857861,,Fiction,,433,paperback
244,,The Horse and His Boy,Clive Staples Lewis,,,9780020442004,,Juvenile Fiction,,228,paperback
245,,Around the World in Eighty Days,Jules Verne,,,9780553213560,,Fiction,,163,paperback
248,,An Ember in the Ashes,Sabaa Tahir,,,9780593206935,,Juvenile Fiction,,482,paperback
250,,The Dark is Rising,Susan Cooper,3.5,,9780689303173,,Juvenile Fiction,,348,paperback
252,,Harry Potter and the Order of the Phoenix,J. K. Rowling,,,9780545582971,,Juvenile Fiction,,870,paperback
254,,The Ickabog,J. K. Rowling,,,9781338732870,,Juvenile Fiction,,304,paperback
255,,The Life and Adventures of Santa Claus,Lyman Frank Baum,,,,,Children's literature,,268,paperback
256,,The Field Guide,"Tony DiTerlizzi, Holly Black",4.0,,9780689859366,,Juvenile Fiction,,138,paperback
257,,The Wonderful Wizard of Oz. Con CD Audio,L. Frank Baum,,,9783852722894,,fantasy,,92,paperback
258,,The Hobbit,J. R. R. Tolkien,,,9780618150823,,Juvenile Fiction,,352,paperback
259,,Now We are Six,Alan Alexander Milne,,,9780440464853,,Juvenile Nonfiction,,116,paperback
260,,The Neverending Story,"Michael Ende, Ralph Manheim",,,9780140317930,,Children's stories,,444,paperback
262,,Castle in the Air,Diana Wynne Jones,,,9780006755302,,Juvenile Fiction,,290,paperback
264,,Horton Hears a Who!,Dr. Seuss,3.5,,,,Juvenile Fiction,,100,paperback
265,,The Magic Finger,Roald Dahl,,,9780140371581,,Fiction,,68,paperback
266,,The Lives of Christopher Chant,Diana Wynne Jones,,,9780006755180,,Juvenile Fiction,,326,paperback
267,,Brisingr,Christopher Paolini,5.0,,9780552559966,,Juvenile Fiction,,790,paperback
269,,Eragon,Christopher Paolini,5.0,,9780552553209,,Juvenile Nonfiction,,530,paperback
270,,The Chronicles of Narnia - the Horse and His Boy,C. S. Lewis,,,9780007588541,,Children's stories,,208,paperback
271,,Karlson on the Roof,"Astrid Lindgren, Patricia Crampton",,,9780416580105,,"Children's literature, Swedish",,120,paperback
272,,Charlotte's Web,Elwyn Brooks White,,,9780590302715,,Juvenile Fiction,,196,paperback
273,,A Tale of Sorcery...,Chris Colfer,,,9780316300964,,fantasy,,544,paperback
274,,Harry Potter and the Philosopher's Stone,J. K. Rowling,4.5,,9780747532699,,Juvenile Fiction,,223,paperback
275,,The Magic of Oz,Lyman Frank Baum,,,9780345282354,,Juvenile Fiction,,262,paperback
276,,Mary Poppins Opens the Door,P. L. Travers,,,9780440404323,,Juvenile Fiction,,260,paperback
279,,The wonderful adventures of Nils,Selma Lagerlöf,,,,,Sweden,,539,paperback
280,,The Drawing of the Three,Stephen King,4.0,,9780451163523,,Fiction,,468,paperback
281,,The Plague of Fantasies,Slavoj Žižek,3.5,,9781859841938,,Computers,,262,paperback
286,,The Little Prince,Antoine de Saint-Exupéry,,,9780140301847,,Death,,109,paperback
289,,Tehanu,Ursula K. Le Guin,,,9780553288735,,Fiction,,252,paperback
291,,The Cat in the Hat,Dr. Seuss,4.0,,9780449810866,,Juvenile Fiction,,73,paperback
292,,The Emerald City of Oz,Lyman Frank Baum,,,,,Juvenile Fiction,,314,paperback
293,,The Happy Prince and Other Stories,"Oscar Wilde, Michael Mac Liammoir",,,9780140350500,,Fairy tales,,185,paperback
294,,Artemis Fowl,Eoin Colfer,,,9780670913442,,Juvenile Fiction,,308,paperback
298,,Five Children and it,Edith Nesbit,,,9780140301281,,Juvenile Fiction,,228,paperback
299,,Crossroads of Twilight,Robert Jordan,4.0,,9780312864590,,Fiction,,724,paperback
