,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
443,444,Robinson Crusoe,Daniel Defoe,3.68,320298,Not found,B0DSZQ4G7H,"320 pages, Hardcover","Genres
Fiction
Classics
Adventure
Literature
Historical Fiction
Novels
18th Century"
444,445,"Red Queen (Red Queen, #1)",Victoria Aveyard,3.99,1105466,9780062310637,0062310631,"388 pages, Hardcover","Genres
Young Adult
Dystopia
Romance
Fiction
Young Adult Fantasy
Audiobook
Magic"
445,446,Hidden Pictures,Jason Rekulak,4.16,447917,9781250819345,1250819342,"372 pages, Hardcover","Genres
Horror
Thriller
Mystery
Fiction
Mystery Thriller
Audiobook
Paranormal"
446,447,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92,1320116,9781594744761,1594744769,"352 pages, Hardcover","Genres
Fantasy
Young Adult
Fiction
Paranormal
Mystery
Horror
Historical Fiction"
447,448,"Stargirl (Stargirl, #1)",Jerry Spinelli,3.77,332342,9780439488402,0439488400,"186 pages, Paperback","Genres
Young Adult
Fiction
Contemporary
Romance
Realistic Fiction
Middle Grade
Childrens"
448,449,Room,Emma Donoghue,4.08,821134,Not found,B003YFIUW8,"321 pages, Kindle Edition","Genres
Fiction
Contemporary
Thriller
Adult Fiction
Audiobook
Book Club
Crime"
449,450,The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,207938,9780312282998,B007C4D1G2,"639 pages, Paperback","Genres
Fiction
Historical Fiction
Novels
Literary Fiction
Literature
Historical
Contemporary"
450,451,Where the Crawdads Sing,Delia Owens,4.38,3376781,9780735219113,0735219117,"384 pages, ebook","Genres
Fiction
Historical Fiction
Mystery
Audiobook
Romance
Contemporary
Historical"
451,452,The Remains of the Day,Kazuo Ishiguro,4.14,333031,Not found,Not found,"258 pages, Paperback","Genres
Fiction
Historical Fiction
Classics
Literary Fiction
Historical
Literature
Novels"
452,453,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,4.10,372702,9780440238157,0440238153,"465 pages, Mass Market Paperback","Genres
Fantasy
Young Adult
Fiction
Adventure
Audiobook
Science Fiction
Childrens"
453,454,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,4.38,403201,9781481426305,1481426303,"725 pages, Hardcover","Genres
Fantasy
Young Adult
Romance
Paranormal
Urban Fantasy
Vampires
Fiction"
454,455,زندگی مه آلود پریا,سید مرتضی مصطفوی,3.34,1031,9786007072714,6007072711,"204 pages, ebook","Genres
Fiction"
455,456,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16,193523,Not found,B0DSZLN57Y,"351 pages, Paperback","Genres
Fiction
Historical Fiction
Westerns
Classics
Horror
Literature
Novels"
456,457,Circe,Madeline Miller,4.23,1217108,9780316556347,0316556343,"393 pages, Hardcover","Genres
Fantasy
Fiction
Mythology
Historical Fiction
Greek Mythology
Audiobook
Retellings"
457,458,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,238678,9780060589462,0060589469,"540 pages, Mass Market Paperback","Genres
Philosophy
Fiction
Classics
Spirituality
Travel
Psychology
Self Help"
458,459,The Firm,Robin Waterfield,4.06,633429,9780582418271,0582418275,"76 pages, Paperback","Genres
Fiction
Thriller
Mystery
Crime
Suspense
Mystery Thriller
Legal Thriller"
459,460,The Plague,Albert Camus,4.02,291160,Not found,B0DSZTSVB9,"308 pages, Paperback","Genres
Fiction
Classics
Philosophy
France
Literature
French Literature
Novels"
460,461,Doctor Zhivago,Boris Pasternak,4.01,99986,9780679774389,0679774386,"592 pages, Paperback","Genres
Fiction
Historical Fiction
Russia
Russian Literature
Classics
Romance
Literature"
461,462,Dear John,Nicholas Sparks,4.04,610444,9780446528054,0446528056,"276 pages, Hardcover","Genres
Romance
Fiction
Chick Lit
Contemporary
Contemporary Romance
Young Adult
Adult Fiction"
462,463,Coraline,Neil Gaiman,4.13,746739,9780061139376,0061139378,"176 pages, Paperback","Genres
Fantasy
Horror
Fiction
Young Adult
Middle Grade
Childrens
Audiobook"
463,464,The English Patient,Michael Ondaatje,3.86,136025,9780771068713,0771068719,"320 pages, Hardcover","Genres
Fiction
Historical Fiction
Classics
Romance
War
Historical
Canada"
464,465,Midnight’s Children,Salman Rushdie,3.98,129100,9780099578512,0099578514,"647 pages, Paperback","Genres
Fiction
Magical Realism
Classics
India
Historical Fiction
Fantasy
Literature"
465,466,The Last Song,Nicholas Sparks,4.16,565019,9780446547567,B0046NN9AU,"390 pages, Paperback","Genres
Romance
Fiction
Young Adult
Contemporary
Chick Lit
Drama
Contemporary Romance"
466,467,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,2742893,9781635575583,1635575583,"626 pages, Paperback","Genres
Fantasy
Romance
Romantasy
Young Adult
Fiction
New Adult
Fae"
467,468,All the Bright Places,Jennifer Niven,4.12,604253,9780385755887,0385755880,"388 pages, Hardcover","Genres
Young Adult
Romance
Contemporary
Fiction
Mental Health
Realistic Fiction
Mental Illness"
