,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
137,138,Perfume: The Story of a Murderer,Patrick Süskind,4.04,515130,Not found,Not found,"263 pages, Paperback","Genres
Fiction
Classics
Historical Fiction
Horror
Thriller
Mystery
Crime"
138,139,In Cold Blood,Truman Capote,4.09,698118,9780679745587,0679745580,"343 pages, Paperback","Genres
Nonfiction
True Crime
Crime
Mystery
History
Classics
Thriller"
139,140,The Scarlet Letter,Nathaniel Hawthorne,3.44,893265,9780142437261,0142437263,"279 pages, Paperback","Genres
Fiction
Historical Fiction
School
Literature
High School
Historical
Read For School"
140,141,American Gods,Neil Gaiman,4.11,969266,Not found,B004YW4L5K,"635 pages, Kindle Edition","Genres
Fantasy
Fiction
Mythology
Urban Fantasy
Audiobook
Science Fiction
Science Fiction Fantasy"
141,142,Fight Club,Chuck Palahniuk,4.18,620755,9780393355949,0393355942,"224 pages, Paperback","Genres
Fiction
Classics
Thriller
Novels
Mystery
Literature
Audiobook"
142,143,The Five People You Meet in Heaven,Mitch Albom,really,763446,9780786868711,0786868716,"196 pages, Hardcover","Genres
Fiction
Contemporary
Inspirational
Fantasy
Classics
Spirituality
Philosophy"
143,144,Watchmen,Alan Moore,4.38,578899,9780930289232,0930289234,"416 pages, Paperback","Genres
Graphic Novels
Fiction
Science Fiction
Fantasy
Graphic Novels Comics
Classics
Comic Book"
144,145,The Girl Who Played With Fire (Millennium #2),Stieg Larsson,4.26,955897,9780307269980,0307269981,"503 pages, Hardcover","Genres
Fiction
Mystery
Thriller
Crime
Mystery Thriller
Suspense
Audiobook"
145,146,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08,163495,9780679433132,0679433139,"798 pages, Hardcover","Genres
Poetry
Fiction
Literature
Philosophy
Fantasy
Italian Literature
Italy"
146,147,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19,567104,9780394800011,039480001X,"61 pages, Hardcover","Genres
Childrens
Picture Books
Fiction
Poetry
Classics
Fantasy
Humor"
147,148,All Quiet on the Western Front,Erich Maria Remarque,4.09,490602,9780449213940,B00EJ3APSG,"296 pages, Mass Market Paperback","Genres
Fiction
Historical Fiction
War
Classics
Historical
Literature
School"
148,149,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,797495,Not found,B007NBGZEE,"491 pages, Mass Market Paperback","Genres
Fantasy
Fiction
Humor
Audiobook
Comedy
Urban Fantasy
Science Fiction Fantasy"
149,150,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,729087,9781416989417,1416989412,"391 pages, Hardcover","Genres
Fantasy
Young Adult
Romance
Paranormal
Angels
Paranormal Romance
Fiction"
150,151,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.36,155519,9780060529963,0060529962,"2700 pages, Paperback","Genres
Classics
Historical Fiction
Childrens
Fiction
Young Adult
Historical
Middle Grade"
151,152,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.55,211846,9780671683900,067168390X,"960 pages, Mass Market Paperback","Genres
Fiction
Historical Fiction
Westerns
Classics
Historical
Adventure
Audiobook"
152,153,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.34,3856108,9780439023498,0439023491,"391 pages, Hardcover","Genres
Young Adult
Fiction
Fantasy
Science Fiction
Romance
Audiobook
Teen"
153,154,Peter Pan,J.M. Barrie,4.04,361614,9780805072457,0805072454,"155 pages, Hardcover","Genres
Fantasy
Fiction
Childrens
Classics
Adventure
Audiobook
Young Adult"
154,155,The Song of Achilles,Madeline Miller,4.31,1765650,Not found,Not found,"408 pages, Paperback","Genres
Fantasy
Historical Fiction
Romance
Fiction
Mythology
LGBT
Queer"
155,156,"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,1151343,Not found,B00Z857ISO,"352 pages, Kindle Edition","Genres
Fantasy
Young Adult
Mythology
Fiction
Middle Grade
Adventure
Greek Mythology"
156,157,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,1164473,9781423101468,1423101464,"361 pages, Hardcover","Genres
Fantasy
Young Adult
Mythology
Fiction
Middle Grade
Adventure
Greek Mythology"
157,158,Love in the Time of Cholera,Gabriel García Márquez,3.94,527673,9781400034680,140003468X,"348 pages, Paperback","Genres
Fiction
Historical Fiction
Magical Realism
Literature
Novels
Spanish Literature
Literary Fiction"
158,159,Gone Girl,Gillian Flynn,4.14,3296196,9780307588371,0307588378,"415 pages, Paperback","Genres
Fiction
Mystery
Thriller
Mystery Thriller
Crime
Suspense
Contemporary"
159,160,The Addiction Manifesto,Jerry Weaver,4.76,1238,9781638377634,1638377634,"178 pages, Paperback","Genres
Nonfiction
Self Help
Memoir
Psychology
Mental Health
Biography"
160,161,"Insurgent (Divergent, #2)",Veronica Roth,3.97,1573354,9780007442911,0007442912,"525 pages, Hardcover","Genres
Young Adult
Dystopia
Fantasy
Fiction
Science Fiction
Romance
Adventure"
161,162,A Walk to Remember,Nicholas Sparks,4.20,831130,Not found,B0DLT52X7S,"215 pages, Kindle Edition","Genres
Romance
Fiction
Contemporary
Young Adult
Chick Lit
Contemporary Romance
Drama"
162,163,The Secret History,Donna Tartt,4.16,900547,9781400031702,1400031702,"559 pages, Paperback","Genres
Fiction
Mystery
Classics
Contemporary
Thriller
Literary Fiction
Mystery Thriller"
163,164,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1285126,9780786856862,0786856866,"279 pages, Hardcover","Genres
Fantasy
Young Adult
Mythology
Fiction
Middle Grade
Adventure
Greek Mythology"
164,165,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.55,464113,9781406321340,1406321346,"567 pages, Paperback","Genres
Fantasy
Young Adult
Romance
Paranormal
Historical Fiction
Steampunk
Urban Fantasy"
165,166,The Thorn Birds,Colleen McCullough,4.25,358164,Not found,B0DLSX3M6M,"692 pages, Mass Market Paperback","Genres
Fiction
Historical Fiction
Romance
Classics
Historical
Historical Romance
Drama"
166,167,How the Grinch Stole Christmas!,Dr. Seuss,4.38,433741,9780007173044,0007173040,"64 pages, Hardcover","Genres
Childrens
Picture Books
Christmas
Classics
Fiction
Poetry
Fantasy"
167,168,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,332116,9780345453747,B00A2LZDTA,"815 pages, Paperback","Genres
Science Fiction
Fiction
Humor
Fantasy
Classics
Comedy
Science Fiction Fantasy"
168,169,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,2022046,Not found,Not found,"406 pages, Hardcover","Genres
Young Adult
Romance
Fiction
Magic
Romantasy
Young Adult Fantasy
Audiobook"
169,170,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.33,375441,9781595141972,1595141979,"443 pages, Paperback","Genres
Young Adult
Fantasy
Vampires
Paranormal
Romance
Urban Fantasy
Paranormal Romance"
170,171,The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.43,9670,9781557831576,B002K27PVS,"137 pages, Kindle Edition","Genres
Plays
Classics
Humor
Drama
Fiction
Theatre
Comedy"
171,172,The Elephant Tree,R.D. Ronald,3.78,31314,9781848764569,1848764561,"252 pages, Paperback","Genres
Thriller
Mystery
Fiction
Crime
Drama
Contemporary
Novels"
172,173,"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,1611433,9780385737944,0385737947,"384 pages, Hardcover","Genres
Young Adult
Dystopia
Science Fiction
Fiction
Fantasy
Audiobook
Post Apocalyptic"
173,174,Their Eyes Were Watching God,Zora Neale Hurston,3.99,368978,9780061120060,0061120065,"238 pages, Paperback","Genres
Classics
Fiction
Historical Fiction
School
Literature
African American
Feminism"
174,175,The Importance of Being Earnest,Oscar Wilde,4.17,391057,9781580495806,158049580X,"89 pages, Paperback","Genres
Classics
Plays
Fiction
Drama
Humor
School
Literature"
175,176,Atonement,Ian McEwan,3.95,542752,9780385721790,B00A2M6OLU,"351 pages, Paperback","Genres
Fiction
Historical Fiction
Classics
Romance
Historical
War
Literary Fiction"
176,177,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,really,489596,9780140621679,0140621679,"154 pages, Paperback","Genres
Classics
Fantasy
Fiction
Childrens
Young Adult
Adventure
Audiobook"
177,178,The Three Musketeers,Alexandre Dumas,4.10,336442,Not found,Not found,"625 pages, Paperback","Genres
Fiction
Historical Fiction
Classics
Adventure
France
Literature
Historical"
178,179,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,2742739,Not found,B0DT172F4H,"626 pages, Kindle Edition","Genres
Fantasy
Romance
Romantasy
Young Adult
Fiction
New Adult
Fae"
179,180,"Eat, Pray, Love",Elizabeth Gilbert,3.64,1802879,9780143038412,0143038419,"368 pages, Paperback","Genres
Nonfiction
Memoir
Travel
Biography
Romance
Chick Lit
Spirituality"
180,181,The Lorax,Dr. Seuss,4.35,358821,9780679889106,0679889108,"72 pages, Hardcover","Genres
Childrens
Picture Books
Fiction
Classics
Poetry
Fantasy
Environment"
181,182,Goodnight Moon,Margaret Wise Brown,4.32,385904,9780060775858,0060775858,"32 pages, Hardcover","Genres
Childrens
Picture Books
Fiction
Classics
Poetry
Kids
Animals"
182,183,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.49,228722,9780545265355,0545265355,"1155 pages, Hardcover","Genres
Young Adult
Fiction
Fantasy
Dystopia
Science Fiction
Romance
Adventure"
183,184,A Midsummer Night’s Dream,William Shakespeare,3.94,560793,9780743477543,0743477545,"298 pages, Mass Market Paperback","Genres
Plays
Fiction
Fantasy
School
Romance
Poetry
Literature"
184,185,"Frostbite (Vampire Academy, #2)",Richelle Mead,4.25,365830,Not found,Not found,"327 pages, Paperback","Genres
Young Adult
Fantasy
Vampires
Paranormal
Romance
Urban Fantasy
Paranormal Romance"
185,186,Bridge to Terabithia,Katherine Paterson,4.06,571489,Not found,B001UFP6JY,"190 pages, Kindle Edition","Genres
Fiction
Young Adult
Classics
Fantasy
Childrens
Middle Grade
Realistic Fiction"
186,187,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.20,682387,9780007119318,B006VWJ2XC,"274 pages, Paperback","Genres
Mystery
Classics
Fiction
Crime
Mystery Thriller
Audiobook
Thriller"
187,188,The Zombie Room,R.D. Ronald,3.82,32064,Not found,B01E4L4VEG,"218 pages, Kindle Edition","Genres
Thriller
Mystery
Fiction
Crime
Drama
Suspense
Novels"
188,189,Heart of Darkness,Joseph Conrad,3.43,536927,9781892295491,1892295490,"188 pages, Paperback","Genres
Fiction
Classics
Literature
Historical Fiction
Africa
School
Novels"
189,190,Tess of the D’Urbervilles,Thomas Hardy,3.84,294177,Not found,B0DSZV77VN,"518 pages, Paperback","Genres
Classics
Fiction
Literature
Historical Fiction
19th Century
Victorian
Novels"
190,191,"The Selection (The Selection, #1)",Kiera Cass,4.07,1678338,9780062059932,B00BG7DY04,"336 pages, Hardcover","Genres
Romance
Young Adult
Dystopia
Fantasy
Fiction
Audiobook
Science Fiction"
191,192,The Diary of a Young Girl,Anne Frank,4.20,3989763,Not found,B007Z332A0,"283 pages, Mass Market Paperback","Genres
Nonfiction
Biography
Memoir
Classics
Historical
Holocaust
Autobiography"
192,193,The Night Circus,Erin Morgenstern,4.01,1046317,9780385534635,0385534639,"506 pages, Hardcover","Genres
Fantasy
Fiction
Romance
Historical Fiction
Magic
Young Adult
Audiobook"
193,194,The Prophet,Kahlil Gibran,4.23,315757,9780001000391,000100039X,"127 pages, Paperback","Genres
Poetry
Classics
Philosophy
Fiction
Spirituality
Religion
Literature"
194,195,"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.30,321864,9781595141989,B0057DB4HI,"503 pages, Hardcover","Genres
Young Adult
Fantasy
Vampires
Paranormal
Romance
Urban Fantasy
Paranormal Romance"
195,196,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.40,3642100,9781501139239,1501139231,"389 pages, Hardcover","Genres
Fiction
Historical Fiction
LGBT
Contemporary
Audiobook
Queer
Historical"
196,197,The Call of the Wild,Jack London,3.91,453405,Not found,0439227143,"172 pages, Mass Market Paperback","Genres
Fiction
Adventure
Young Adult
Animals
Historical Fiction
Literature
Audiobook"
197,198,"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01,255541,9781416500186,1416500189,"418 pages, Mass Market Paperback","Genres
Fiction
Historical Fiction
China
Classics
Literature
Historical
Asia"
198,199,Alice in Wonderland,Jane Carruth,4.03,394489,9780517223628,0517223627,"96 pages, Hardcover","Genres
Classics
Fantasy
Fiction
Childrens
Young Adult
Adventure
Literature"
199,200,The Joy Luck Club,Amy Tan,3.97,696849,Not found,B001GCVFHI,"288 pages, Paperback","Genres
Fiction
Historical Fiction
Classics
China
Contemporary
Historical
School"
200,201,The Phantom Tollbooth,Norton Juster,4.20,297926,9780394820378,0394820371,"248 pages, Paperback","Genres
Fantasy
Fiction
Classics
Childrens
Young Adult
Middle Grade
Adventure"
201,202,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,427322,9780679805274,0679805273,"44 pages, Hardcover","Genres
Childrens
Picture Books
Fiction
Classics
Poetry
Fantasy
Young Adult"
202,203,The Neverending Story,Michael Ende,4.18,212318,9780525457589,0525457585,"396 pages, Hardcover","Genres
Fantasy
Fiction
Young Adult
Childrens
Adventure
Classics
German Literature"
203,204,Madame Bovary,Gustave Flaubert,3.71,355150,9780192840394,0192840398,"329 pages, Paperback","Genres
Fiction
Classics
France
Literature
French Literature
Romance
19th Century"
204,205,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,209919,Not found,B000FC1JCQ,"1009 pages, Kindle Edition","Genres
Fantasy
Fiction
Historical Fiction
Arthurian
Mythology
Classics
Historical"
205,206,Oliver Twist,Charles Dickens,3.88,414145,Not found,Not found,"608 pages, Paperback","Genres
Fiction
Classics
Historical Fiction
Literature
Novels
19th Century
Classic Literature"
206,207,Treasure Island,Robert Louis Stevenson,3.85,518596,9780753453803,0753453800,"352 pages, Hardcover","Genres
Fiction
Adventure
Historical Fiction
Young Adult
Childrens
Pirates
Fantasy"
207,208,Jonathan Livingston Seagull,Richard Bach,3.86,263538,9780743278904,0743278909,"112 pages, Paperback","Genres
Fiction
Classics
Philosophy
Fantasy
Spirituality
Inspirational
Self Help"
208,209,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,820726,9780553573428,055357342X,"1177 pages, Mass Market Paperback","Genres
Fantasy
Fiction
Epic Fantasy
High Fantasy
Science Fiction Fantasy
Audiobook
Dragons"
209,210,Ulysses,James Joyce,3.77,136470,Not found,Not found,"783 pages, Paperback","Genres
Fiction
Literature
Classics
Ireland
Novels
Irish Literature
20th Century"
210,211,The Boy in the Striped Pajamas,John Boyne,4.16,904071,9780385751070,0385751079,"224 pages, Hardcover","Genres
Historical Fiction
Fiction
Young Adult
Historical
Holocaust
War
World War II"
211,212,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,2771866,9781612130293,1612130291,"356 pages, Paperback","Genres
Fiction
BDSM
Contemporary
Contemporary Romance
Chick Lit
Erotica
Erotic Romance"
212,213,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.12,1009630,9780307763051,B007UH4D3G,"450 pages, Kindle Edition","Genres
Science Fiction
Fiction
Thriller
Horror
Fantasy
Adventure
Classics"
213,214,"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.97,465173,9781400033416,1400033411,"325 pages, Paperback","Genres
Fiction
Classics
Historical Fiction
Magical Realism
Historical
Literature
School"
214,215,"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.10,275887,Not found,B00466HQ2Y,"516 pages, Kindle Edition","Genres
Historical Fiction
Fiction
Fantasy
Historical
Classics
Adventure
Prehistoric"
215,216,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.30,903355,9781423113393,142311339X,"576 pages, Hardcover","Genres
Fantasy
Mythology
Young Adult
Fiction
Middle Grade
Adventure
Greek Mythology"
216,217,A Farewell to Arms,Ernest Hemingway,3.82,338322,9780099910107,0099910101,"293 pages, Paperback","Genres
Fiction
Historical Fiction
Classics
War
Literature
Novels
Romance"
217,218,David Copperfield,Charles Dickens,4.04,249664,Not found,Not found,"882 pages, Paperback","Genres
Fiction
Literature
Historical Fiction
Audiobook
19th Century
Novels
Victorian"
218,219,The Canterbury Tales,Geoffrey Chaucer,3.52,232505,9780140424386,0140424385,"504 pages, Paperback","Genres
Fiction
Poetry
Classics
Literature
School
Short Stories
Historical Fiction"
219,220,A Little Princess,Frances Hodgson Burnett,4.23,317539,9780142437018,0142437018,"242 pages, Paperback","Genres
Fiction
Childrens
Classics
Young Adult
Historical Fiction
Middle Grade
Historical"
220,221,The World According to Garp,John Irving,4.11,234149,9780345915597,0345915593,"610 pages, Hardcover","Genres
Fiction
Classics
Literature
Contemporary
Novels
Literary Fiction
Humor"
221,222,Thirteen Reasons Why,Jay Asher,3.84,1004672,9781595147882,1595147888,"352 pages, Hardcover","Genres
Young Adult
Fiction
Contemporary
Realistic Fiction
Mystery
Mental Health
Teen"
222,223,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,976889,Not found,B007BDS5G0,"400 pages, Hardcover","Genres
Fantasy
Young Adult
Science Fiction
Romance
Retellings
Fiction
Dystopia"
223,224,His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,165493,9780440238607,0440238609,"1088 pages, Mass Market Paperback","Genres
Fantasy
Fiction
Young Adult
Childrens
Science Fiction Fantasy
Science Fiction
Classics"
224,225,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.52,653212,9780060987107,B007CGOP4C,"406 pages, Paperback","Genres
Fantasy
Fiction
Retellings
Audiobook
Witches
Classics
Magic"
225,226,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,571963,9781416975885,1416975888,"498 pages, Hardcover","Genres
Fantasy
Young Adult
Romance
Paranormal
Steampunk
Historical Fiction
Urban Fantasy"
226,227,"Shōgun (Asian Saga, #1)",James Clavell,4.41,200652,9781982603847,1982603844,"1152 pages, Paperback","Genres
Historical Fiction
Fiction
Japan
Historical
Adventure
Audiobook
Literature"
227,228,Schindler’s List,Thomas Keneally,4.34,163219,9780340606513,0340606517,"429 pages, Mass Market Paperback","Genres
History
Nonfiction
Holocaust
War
Historical
World War II
Biography"
228,229,The Velveteen Rabbit,Margery Williams Bianco,4.31,266391,9780380002559,0380002558,"40 pages, Paperback","Genres
Classics
Childrens
Fiction
Picture Books
Fantasy
Animals
Young Adult"
229,230,The Iliad / The Odyssey,Homer,4.07,80831,9780147712554,0147712556,"1556 pages, Paperback","Genres
Fiction
Poetry
Mythology
Classics
Fantasy
Literature
Historical Fiction"
230,231,The Silmarillion,J.R.R. Tolkien,4.02,317688,9780618391110,0618391118,"386 pages, Hardcover","Genres
Fantasy
Fiction
High Fantasy
Science Fiction Fantasy
Epic Fantasy
Classics
Mythology"
231,232,The Trial,Franz Kafka,3.95,363841,Not found,Not found,"255 pages, Paperback","Genres
Fiction
Philosophy
Literature
German Literature
Novels
Dystopia
20th Century"
232,233,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,410460,9780064410342,006441034X,"329 pages, Mass Market Paperback","Genres
Fantasy
Young Adult
Fiction
Middle Grade
Magic
Classics
Audiobook"
233,234,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,429107,9780618711659,0618711651,"326 pages, Paperback","Genres
Fiction
Historical Fiction
Contemporary
Novels
Literary Fiction
Adult Fiction
Literature"
234,235,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.09,506101,Not found,B0DSZNGJK8,"661 pages, Paperback","Genres
Historical Fiction
Fiction
Historical
Romance
British Literature
Historical Romance
Tudor Period"
235,236,"The Silence of the Lambs (Hannibal Lecter, #2)",Thomas Harris,4.25,571529,Not found,Not found,"421 pages, Paperback","Genres
Horror
Fiction
Thriller
Mystery
Crime
Classics
Mystery Thriller"
236,237,Man’s Search for Meaning,Viktor E. Frankl,4.38,802171,9780807014295,080701429X,"165 pages, Paperback","Genres
Nonfiction
Psychology
Philosophy
Self Help
Memoir
Biography
Audiobook"
237,238,"Fallen (Fallen, #1)",Lauren Kate,3.72,605542,9780385738934,0385738935,"464 pages, Hardcover","Genres
Fantasy
Young Adult
Romance
Paranormal
Angels
Paranormal Romance
Fiction"
238,239,The Sun Also Rises,Ernest Hemingway,3.79,471039,Not found,B005PYJ9S0,"189 pages, Paperback","Genres
Classics
Fiction
Literature
Novels
Historical Fiction
American
Spain"
239,240,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.37,295187,9781595143068,1595143068,"594 pages, Hardcover","Genres
Young Adult
Fantasy
Vampires
Paranormal
Romance
Urban Fantasy
Paranormal Romance"
240,241,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.10,3460472,9780439023511,0439023513,"390 pages, Hardcover","Genres
Young Adult
Dystopia
Fiction
Fantasy
Science Fiction
Romance
Adventure"
241,242,A Confederacy of Dunces,John Kennedy Toole,3.89,287622,9780802130204,0802130208,"394 pages, Paperback","Genres
Fiction
Humor
Literature
Comedy
Novels
Classics
American"
242,243,The Green Mile,Stephen King,4.48,343180,9780451933027,0451933028,"592 pages, Paperback","Genres
Horror
Fiction
Fantasy
Thriller
Mystery
Classics
Crime"
243,244,The Secret Magdalene,Ki Longfellow,4.15,4684,9780307346667,0307346668,"448 pages, Hardcover","Genres
Historical Fiction
Fiction
Religion
Historical
Spirituality
Literature
Novels"
244,245,The Crucible,Arthur Miller,3.61,443066,9780142437339,0142437336,"143 pages, Paperback","Genres
Classics
Plays
Fiction
Historical Fiction
School
Read For School
Historical"
245,246,Cat’s Cradle,Kurt Vonnegut Jr.,4.15,421883,Not found,Not found,"306 pages, Paperback","Genres
Fiction
Classics
Science Fiction
Humor
Literature
Novels
Dystopia"
246,247,The Screwtape Letters,C.S. Lewis,4.27,486022,Not found,B002BD2V2Y,"222 pages, Kindle Edition","Genres
Fiction
Christian
Classics
Religion
Christianity
Fantasy
Theology"
247,248,The Girl on the Train,Paula Hawkins,3.96,3143307,9781594633669,1594633665,"336 pages, Hardcover","Genres
Fiction
Mystery
Thriller
Mystery Thriller
Crime
Suspense
Audiobook"
248,249,The Wind in the Willows,Kenneth Grahame,4.02,231171,9780143039099,0143039091,"197 pages, Paperback","Genres
Fiction
Childrens
Fantasy
Classics
Animals
Young Adult
Middle Grade"
249,250,A Light in the Attic,Shel Silverstein,4.36,465661,9780060513061,0060513063,"176 pages, Hardcover","Genres
Poetry
Childrens
Classics
Fiction
Humor
Young Adult
Picture Books"
250,251,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.32,302768,9781595142504,1595142509,"489 pages, Hardcover","Genres
Young Adult
Fantasy
Vampires
Paranormal
Romance
Urban Fantasy
Paranormal Romance"
251,252,Misery,Stephen King,4.23,796049,9780450417399,0450417395,"370 pages, Paperback","Genres
Horror
Fiction
Thriller
Mystery
Suspense
Mystery Thriller
Audiobook"
252,253,The Lord of the Rings,J.R.R. Tolkien,4.54,706363,9780618640157,0618640150,"1216 pages, Paperback","Genres
Fantasy
Classics
Fiction
Adventure
Science Fiction Fantasy
High Fantasy
Epic Fantasy"
253,254,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.07,624710,9781442403543,1442403543,"425 pages, Hardcover","Genres
Fantasy
Young Adult
Romance
Paranormal
Urban Fantasy
Vampires
Fiction"
254,255,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.47,342460,9780553256697,0553256696,"242 pages, Mass Market Paperback","Genres
Nonfiction
Biography
History
Christian
Memoir
Classics
Holocaust"
255,256,Blindness,José Saramago,4.18,315664,Not found,B003T0GBOM,"349 pages, Kindle Edition","Genres
Fiction
Dystopia
Classics
Science Fiction
Novels
Literature
Portugal"
256,257,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.58,714700,Not found,B0117K9N3Q,"561 pages, Kindle Edition","Genres
Fantasy
Young Adult
Fiction
Romance
Young Adult Fantasy
LGBT
Magic"
257,258,The God of Small Things,Arundhati Roy,3.96,312357,9780679457312,B006E58GFG,"321 pages, Paperback","Genres
Fiction
India
Historical Fiction
Classics
Literary Fiction
Contemporary
Indian Literature"
258,259,The Phantom of the Opera,Gaston Leroux,3.96,262450,9780060809249,0060809248,"360 pages, Mass Market Paperback","Genres
Fiction
Horror
Romance
Gothic
Classics
Mystery
Historical Fiction"
259,260,"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,985378,9780553381696,0553381695,"1009 pages, Paperback","Genres
Fantasy
Fiction
Epic Fantasy
High Fantasy
Science Fiction Fantasy
Audiobook
Dragons"
260,261,The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.47,1196,Not found,B0DVBPKYHY,"335 pages, ebook","Genres
Fantasy
Young Adult
Urban Fantasy
Fiction
Young Adult Fantasy
Science Fiction
Novels"
261,262,"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.01,419217,9780590920681,0590920685,"240 pages, Paperback","Genres
Fantasy
Young Adult
Fiction
Middle Grade
Romance
Childrens
Fairy Tales"
262,263,Girl with a Pearl Earring,Tracy Chevalier,3.93,759723,9780452287020,0452287022,"233 pages, Paperback","Genres
Historical Fiction
Fiction
Classics
Historical
Art
Romance
Adult Fiction"
263,264,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.40,2982506,9780618346257,0618346252,"398 pages, Paperback","Genres
Fantasy
Classics
Fiction
Adventure
Audiobook
High Fantasy
Science Fiction Fantasy"
264,265,The House of the Spirits,Isabel Allende,4.29,294377,9780553383805,0553383809,"448 pages, Paperback","Genres
Fiction
Magical Realism
Historical Fiction
Fantasy
Spanish Literature
Historical
Novels"
265,266,Dark Places,Gillian Flynn,3.95,799498,9780307341563,0307341569,"424 pages, Hardcover","Genres
Mystery
Fiction
Thriller
Mystery Thriller
Crime
Suspense
Audiobook"
266,267,"Uglies (Uglies, #1)",Scott Westerfeld,3.85,694875,9780689865381,0689865384,"425 pages, Paperback","Genres
Young Adult
Dystopia
Science Fiction
Fiction
Fantasy
Romance
Teen"
267,268,The Wind-Up Bird Chronicle,Haruki Murakami,4.14,300958,9780965341981,0965341984,"607 pages, Paperback","Genres
Fiction
Magical Realism
Fantasy
Japanese Literature
Novels
Literature
Literary Fiction"
268,269,Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,474310,9780739461198,B0058M5XF2,"291 pages, Hardcover","Genres
Nonfiction
Animals
Memoir
Biography
Dogs
Humor
Biography Memoir"
269,270,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.67,592324,9780765326355,0765326353,"1007 pages, Hardcover","Genres
Fantasy
Fiction
Epic Fantasy
High Fantasy
Audiobook
Science Fiction Fantasy
Magic"
270,271,Mystic River,Dennis Lehane,4.17,153601,9780060584757,0060584750,"416 pages, Paperback","Genres
Mystery
Fiction
Thriller
Crime
Mystery Thriller
Suspense
Drama"
271,272,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,783919,9781984801814,1984801813,"291 pages, Paperback","Genres
Historical Fiction
Fiction
Romance
Historical
World War II
Audiobook
Book Club"
272,273,Norwegian Wood,Haruki Murakami,really,673134,9780375704024,0375704027,"296 pages, Paperback","Genres
Fiction
Romance
Japan
Japanese Literature
Classics
Novels
Literary Fiction"
