,Unnamed: 0.1,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score,Genre_List,Cluster,PCA1,PCA2,Age_Group_Min
37,30,30,44.0,The Outsiders,S.E. Hinton,4.14,1487514.0,9780670532575,0670532576,"Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Realistic Fiction",,208,Mass Market Paperback,0.9158512720156556,0.7849999999999999,0.159532586177827,0.6613459645483707,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Coming Of Age', 'Realistic Fiction']",0,-0.23005809155403426,-0.31101919667142813,8
38,52,52,69.0,Matilda,Roald Dahl,4.33,1038199.0,9780435123987,043512398X,"Fiction, Childrens, Classics, Fantasy, Middle Grade, Young Adult, Humor",,240,Hardcover,0.8669275929549902,0.8325,0.1113111238681401,0.6608096792057826,"['Fiction', 'Childrens', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor']",0,-0.38600623764930486,-0.3752710019716781,8
39,27,27,38.0,Brave New World,Aldous Huxley,3.99,1971576.0,9780060929879,0060929871,"Fiction, Science Fiction, Dystopia, Literature, Novels, School, Audiobook",,268,Paperback,0.9275929549902152,0.7475,0.2114831720442051,0.6585190317586052,"['Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Audiobook']",0,-0.11357836811317186,-0.16687744221726325,8
40,44,44,60.0,Green Eggs and Ham,Dr. Seuss,4.31,817071.0,9780394800165,B00297Y0JO,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor",,64,Hardcover,0.8845401174168297,0.8274999999999999,0.0875791863240642,0.6567798259352234,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']",0,-0.4159428557841753,-0.5811366193561843,0
41,19,19,28.0,Lord of the Flies,William Golding,3.7,3065278.0,9780140283334,0140283331,"Fiction, Classics, Young Adult, School, Dystopia, Literature, Read For School",,182,Paperback,0.9471624266144814,0.675,0.3288616476593731,0.6565060185684637,"['Fiction', 'Classics', 'Young Adult', 'School', 'Dystopia', 'Literature', 'Read For School']",0,-0.35568365129059804,-0.292856051571957,8
42,32,32,46.0,The Secret Garden,Frances Hodgson Burnett,4.16,1238963.0,9780517189603,0517189607,"Fiction, Classics, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook",,331,Hardcover,0.9119373776908024,0.79,0.1328575526745275,0.6561987325913324,"['Fiction', 'Classics', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Audiobook']",0,-0.16662005482587258,-0.34065540334226113,8
43,42,42,58.0,Where the Wild Things Are,Maurice Sendak,4.25,1034305.0,9780099408390,B00BG704OS,"Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult",,38,Paperback,0.888454011741683,0.8125,0.1108932113251938,0.6560868057667192,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']",0,-0.3866985554162225,-0.35100260674593775,8
44,119,119,159.0,Gone Girl,Gillian Flynn,4.14,3296196.0,9780307588371,0307588378,"Fiction, Mystery, Thriller, Mystery Thriller, Crime, Suspense, Contemporary",,415,Paperback,0.6908023483365949,0.7849999999999999,0.353644269280348,0.6536116544042356,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']",4,-0.28979451835845493,0.41341775158894695,18
45,72,72,97.0,And Then There Were None,Agatha Christie,4.28,1497601.0,9780312330873,0312330871,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Classics, Audiobook",,264,Paperback,0.812133072407045,0.8200000000000001,0.1606151449402049,0.6531870543368126,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Classics', 'Audiobook']",4,-0.2988879615225662,0.4087853143308202,18
46,55,55,74.0,The Pillars of the Earth,Ken Follett,4.34,797476.0,9780451222138,045122213X,"Historical Fiction, Fiction, Historical, Fantasy, Classics, Audiobook, Medieval","Kingsbridge, #1",976,Paperback,0.8571428571428572,0.835,0.0854762083376664,0.6531547663701309,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Audiobook', 'Medieval']",1,-0.030707865543445324,0.2327176595235642,18
